danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0.554,0.972,8,-3.459,1,0.0904,0.000209,0.000352,0.656,0.399,95.001,4wc5KneOuSFS7xUIGin0Ew
0.569,0.971,8,-3.959,1,0.0906,5.61e-05,0.00256,0.0307,0.537,97.013,0stqgOf22qYspr03GlKtPn
0.535,0.978,2,-3.779,0,0.0856,2.49e-05,0.0938,0.231,0.404,134.05,3U63rbEYFncmc9hvez0P4W
0.441,0.943,3,-4.996,1,0.138,0.000506,0.0397,0.122,0.142,177.971,3uXR8I4kT1WtvtHTEj4ZHG
0.593,0.947,5,-4.015,0,0.0794,6.63e-05,0.0294,0.0906,0.418,125.979,7GeKPT7b3FeYxxgU6A0ng6
0.535,0.939,0,-4.928,0,0.0478,0.000189,0.0331,0.121,0.178,94.988,72wv97bT39z4b5GCcebjfY
0.204,0.993,10,-3.604,0,0.0989,9.58e-06,0.0132,0.363,0.476,179.893,6bZ9Q8uEYClaEBdVaeQZtC
0.552,0.964,2,-4.479,1,0.137,0.000221,0.304,0.11,0.336,90.017,1qsGM3kw57Wl4tefgJMtX3
0.356,0.967,8,-4.518,1,0.0867,3.62e-05,0.0232,0.118,0.139,184.034,5MbSjxKJESH5k5c20Jsity
0.379,0.994,2,-4.236,1,0.137,2.5e-05,0.00205,0.371,0.164,95.718,18pgXLWVtjYPZWdOXAWhPK
0.527,0.153,5,-19.937,1,0.0309,0.804,0.132,0.362,0.118,130.023,4ryXCkFufzzWtyQX3vpAMA
0.264,0.961,8,-4.981,1,0.0707,9.33e-05,0.104,0.109,0.236,169.988,3rTfo6JHElJCLjttP2JAjR
0.191,0.139,4,-13.199,1,0.0315,0.915,0.0027,0.283,0.136,84.778,1wVLaNc1qRgI56HWauLFee
0.162,0.11,5,-15.383,1,0.0357,0.923,0.000111,0.128,0.0769,74.677,3q3jDolO5CoXxiCB69cqV1
0.14,0.181,4,-13.637,1,0.0325,0.877,0.000372,0.151,0.111,79.486,7dD5DEzjhofoItSG7QwVoY
0.18,0.131,0,-15.827,1,0.0407,0.901,0.000168,0.154,0.145,174.683,7afEKv9K0Q57Z07eEPdv43
0.188,0.114,9,-16.937,1,0.0362,0.858,0.0212,0.133,0.0377,137.682,5xU4JpJr9LsYIZ6RCtOgQk
0.147,0.082,2,-15.383,1,0.0338,0.872,0.00101,0.0917,0.0682,169.563,3xcyWI1D46s6oAI9I3RApl
0.216,0.105,2,-17.766,0,0.0319,0.868,4.84e-05,0.181,0.0774,81.422,1Yv6PMPkvLdCIFbm9kanaz
0.186,0.149,2,-15.884,0,0.0336,0.889,0.000246,0.171,0.0909,88.959,7I5pU6JAksvrQcE059vs1R
0.227,0.0922,8,-16.828,1,0.0364,0.771,0.00123,0.105,0.0454,129.017,3ElzkGBZpbjVuyKWCAHuzw
0.191,0.146,2,-14.633,1,0.0347,0.915,3.45e-05,0.109,0.124,82.37,00SMAiLWHNKL8CKA5LW3jZ
0.188,0.143,5,-15.963,1,0.0337,0.891,8.77e-06,0.108,0.133,87.741,1cYnAgZ3ozArcewaq5lQwA
0.273,0.119,2,-14.432,1,0.036,0.914,2.33e-05,0.173,0.0754,118.163,3LhrxphOyT1C5fjVVLdMKG
0.331,0.151,2,-13.73,1,0.0329,0.844,1.8e-05,0.317,0.178,80.413,4fgmqwB9QnCZ4P9HwFiaJg
0.22,0.188,2,-14.263,0,0.0318,0.565,1.59e-05,0.202,0.167,90.529,5iAXHvp8eNtwfboVmZXB7O
0.151,0.27,7,-13.911,1,0.0363,0.788,2.48e-05,0.237,0.0821,74.237,1YqVFQgShePADP5DkU3ojC
0.338,0.0977,5,-14.283,1,0.0322,0.566,7.49e-06,0.125,0.172,101.945,6SYaNPLQ8E3vUcIp8Es5sQ
0.577,0.306,9,-11.559,1,0.0427,0.383,0.0,0.18,0.568,125.166,2WaYW84yWij5NSCpgSeU2R
0.503,0.264,7,-12.828,1,0.036,0.431,0.0,0.057,0.49,120.712,27R6BDUt3ePcUWO8C9PIje
0.554,0.18,5,-15.892,0,0.0543,0.463,0.0,0.0874,0.53,107.238,4q6vMqwAOt3qog2i97lNIC
0.54,0.206,0,-13.896,1,0.032,0.472,0.0,0.117,0.49,107.955,5lJlcm51WrBe4JuqFURvDP
