danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,4vpeKl0vMGdAXpZiQB2Dtd
0.4,0.267,10,-12.488,1,0.0323,0.744,0.00734,0.103,0.0872,144.799,4TOMI010Sd4ZAX4aZ5TS85
0.397,0.219,2,-13.534,1,0.0307,0.772,0.0,0.145,0.281,111.58,4nzuujPepvK9gaUyxulAPT
0.342,0.297,0,-9.8,1,0.03,0.671,0.00101,0.0747,0.0586,121.346,6CiaAsqEyQqqFRPB3GnX8k
0.605,0.339,2,-9.786,1,0.0323,0.663,0.000127,0.0719,0.311,104.966,2dX1kUbQ4EVYV3e4PCqd6z
0.684,0.467,9,-7.829,1,0.239,0.56,0.0,0.0942,0.445,80.019,3PEx44by2Pe7E6M8tgqE5N
0.192,0.372,4,-11.449,0,0.0308,0.114,1.37e-05,0.181,0.039,168.103,16pngF7qRDnAkXt2FMuUdl
0.364,0.609,7,-5.841,0,0.0328,0.0145,1.63e-06,0.0599,0.143,137.545,5e7lvc1O66J05KqfeULRWn
0.502,0.454,2,-8.613,0,0.031,0.499,0.00202,0.303,0.205,123.974,1wmuRgOagFcqjOK8LOZvAc
0.495,0.326,7,-12.29,1,0.0365,0.541,8.85e-05,0.0996,0.371,136.243,476V2d6iA2tWXgQboKmTtA
0.476,0.584,10,-12.357,1,0.038,0.119,0.0,0.274,0.417,88.026,2UKkLqST2xWpK8n1b0Xr5Z
0.385,0.434,1,-11.544,0,0.0313,0.722,5e-06,0.192,0.388,132.454,1NeQzAqahRYI09bgLbhVFN
0.419,0.588,3,-6.259,0,0.0299,0.0401,0.0962,0.0838,0.0743,123.947,2NvbUcJTaaQeuJXfaA9U1W
0.226,0.303,0,-10.866,0,0.0374,0.897,0.878,0.162,0.094,66.727,5pSxOv6lbvdz2fddSUPdSA
0.219,0.298,2,-11.52,0,0.0313,0.944,0.254,0.094,0.154,79.136,6bk11TH82XrT5QUC1gDw9A
0.648,0.375,2,-8.509,1,0.0295,0.799,0.0,0.338,0.504,139.979,05MxJsc8F0G2u3IIz6g0b2
0.533,0.313,2,-13.007,0,0.0298,0.386,4.64e-06,0.0868,0.225,133.615,60ifqqPhbselSwXyGrGyMK
0.387,0.452,3,-6.966,1,0.0303,0.324,0.0,0.127,0.331,140.709,2K1g6ZjdpC7ulpo3WN76fW
0.569,0.282,8,-13.773,0,0.0274,0.876,0.854,0.0997,0.215,88.623,15Zt4Z0N6JMwyNp1vLQNfi
0.537,0.373,6,-10.081,0,0.0331,0.691,0.000915,0.083,0.244,83.936,6CKoWCWAqEVWVjpeoJXyNH
0.533,0.414,4,-10.775,0,0.0261,0.781,0.000102,0.249,0.237,84.037,6c1cmrXv4nraefnIEIU62z
0.523,0.366,10,-14.069,1,0.0331,0.498,0.0,0.094,0.291,142.814,6mIY6O7uNGgVqOoX70UAYh
0.76,0.585,3,-7.307,1,0.161,0.0102,0.000468,0.308,0.455,91.179,6uWez0py1zc17F7hjp7jIt
0.639,0.871,1,-7.776,1,0.032,0.0362,0.495,0.0789,0.359,136.073,4G9tm8hfoCZsLgVWOAxyWK
0.535,0.951,7,-5.859,1,0.0373,0.0174,9.61e-06,0.345,0.444,120.72,5Klo65Y9uouLjNVDV3pqh7
0.804,0.708,7,-13.533,0,0.0625,0.362,0.0057,0.123,0.885,99.984,2XO45SqRjcoL3NqyeKBoFK
