danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0.669,0.698,1,-7.971,1,0.0713,0.0243,0.0,0.0782,0.6,83.987,2BdSaGVMxZzEeJYjjrlo6n
0.544,0.897,3,-6.056,0,0.0471,0.241,0.0,0.13,0.647,157.17,34x6hEJgGAOQvmlMql5Ige
0.514,0.942,9,-8.433,1,0.0502,0.282,6.6e-05,0.17,0.912,159.847,4ebcE2SmkG7nplvzFAWRu7
0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,0ct6r3EGTcMLPtrXHDvVjc
0.767,0.881,9,-3.988,1,0.0301,0.00133,0.000139,0.0551,0.961,130.018,1mvZErZBp7WZT3HfGBykao
0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015,1XGmzt0PVuFgQYYnV2It7A
0.739,0.791,9,-4.796,0,0.0831,0.00144,0.000157,0.115,0.631,103.494,1GakyY5lyvZGZXZYkk3FjS
0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4LJhJ6DQS7NwE7UKtvcM52
0.725,0.879,11,-3.336,0,0.0551,0.0119,3.5e-05,0.367,0.638,128.03,2C0B4gD8bIUn01eqdEcilH
0.78,0.693,7,-4.453,1,0.225,0.00102,0.0,0.111,0.629,129.951,2GWpc4r9gvF9YLEWYJPzLA
0.696,0.886,7,-4.166,1,0.0444,0.000114,0.000182,0.304,0.825,124.996,1eikIH8Zd2owOyRFYInqiY
0.649,0.822,1,-5.8,1,0.0398,0.00258,3.83e-05,0.362,0.201,140.026,5aQmsZCESbhasWW5VARdS8
0.707,0.868,3,-3.648,0,0.0632,0.0194,8.05e-05,0.227,0.148,129.969,3Qq7zFuBjiQFmQ8wz55CdJ
0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,67awxiNHNyjMXhVgsHuIrs
0.856,0.527,2,-5.225,1,0.0997,0.392,0.0,0.11,0.386,98.052,0Dc7J9VPV4eOInoxUiZrsL
0.617,0.617,8,-6.941,1,0.122,3.97e-05,0.0598,0.253,0.517,127.996,4ua0IepBEISCWwF8dTJvcU
0.597,0.868,7,-5.095,1,0.0526,0.0212,0.0,0.664,0.709,160.021,0n0eMsX7WgEtc7dlscbuKU
0.865,0.657,7,-6.722,1,0.076,0.0404,0.0,0.14,0.316,111.115,00i2HU7TEzzftShjRrDSEF
0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,503OTo2dSqe7qk76rgsbep
0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,0CAfXk7DXMnon4gLudAp7J
0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891,0weAUscowxeqDtpCgtbpgp
0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,1AWQoqb9bSvzTjaLralEkT
0.921,0.668,7,-8.73,1,0.235,0.0949,0.0,0.592,0.892,131.059,4SyadrABZJIjeND1HPJS31
0.979,0.792,2,-2.784,1,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,3XVozq1aeqsJwpXrEZrDJ9
0.722,0.761,11,-4.459,0,0.0475,0.0117,0.0,0.315,0.624,128.044,7pYfyrMNPn3wtoCyqcTVoI
0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,1B75hgRqe7A4fwee3g3Wmu
0.687,0.796,7,-6.713,1,0.168,0.0989,2.25e-05,0.398,0.37,94.625,0RvnQ7hMgtXeJn8VdEhKu1
0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,2mKouqwAIdQnMP43zxR89r
0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,1h2xVEoJORqrg71HocgqXd
0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,5ChkMS8OtdzJeqyybCc9R5
0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,3AszgPDZd9q0DpDFt4HFBy
0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972,27AHAtAirQapVldIm4c9ZX
0.811,0.823,4,-5.921,0,0.0423,0.0553,4.52e-06,0.158,0.827,106.929,7L93GESzq43UkKUt5FsOCq
0.765,0.821,4,-5.926,0,0.183,0.0918,0.0,0.217,0.962,162.519,0UNTBB02C1aB55Fu4H63qd
0.84,0.56,6,-10.53,0,0.21,0.00195,0.00417,0.633,0.775,111.815,6m59VvDUi0UQsB2eZ9wVbH
0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,0ARK753YaiJbpLUk7z5yIM
0.832,0.726,2,-7.739,1,0.19,0.028,0.0,0.0468,0.55,106.125,2b8RCiPb2rtG5AQ1FwyUZX
0.583,0.692,10,-7.932,0,0.362,0.193,0.0,0.121,0.595,174.141,7vfvZp6KZJpxiaW6rI9ieM
0.775,0.606,0,-9.86,1,0.12,0.042,0.0,0.523,0.788,103.648,1poBO3pO6fkqPYG6n8J5cX
0.839,0.706,5,-6.104,0,0.199,0.208,0.0,0.242,0.839,96.673,4hrae8atte6cRlSC9a7VCO
0.679,0.509,4,-7.31,1,0.0617,0.0856,0.0,0.438,0.534,144.29,0WccCTWCY2Jtlh1ddAUZxT
0.551,0.591,6,-8.404,0,0.12,0.00549,6.55e-06,0.0416,0.474,201.81,26yPacO528yccLPMwVminp
0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,6QewNVIDKdSl8Y3ycuHIei
0.661,0.847,7,-11.855,1,0.0349,0.225,0.835,0.0863,0.71,125.862,0JXXm3RqxU8EKzX4P8M0n3
0.81,0.428,0,-14.248,1,0.272,0.0623,0.0,0.116,0.649,142.075,66AMCAjrOk7c957i3ej06f
0.663,0.799,1,-7.478,1,0.0387,9.55e-05,0.0613,0.0947,0.937,103.954,1GkRtFi1i90d3QngEVQTDY
0.78,0.575,9,-7.247,0,0.273,0.43,0.0,0.143,0.773,84.492,2g8HN35AnVGIk7B8yMucww
0.682,0.765,1,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,2hnMS47jN0etwvFPzYk11f
0.862,0.642,6,-13.652,0,0.101,0.102,0.0,0.272,0.765,99.2,1SyQ6t9RdRBK0QUCS6a797
