danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0.381,0.631,0,-5.886,1,0.262,0.0453,0.0,0.129,0.37,170.187,3hgl7EQwTutSm6PESsB7gZ
0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,4kV4N9D1iKVxx1KLvtTpjS
0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097,0Ryd8975WihbObpp5cPW1t
0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,5J4ZkQpzMUFojo1CtAZYpn
0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,6ocbgoVGwYJhOv1GgI9NsF
0.892,0.507,0,-8.282,1,0.378,0.704,3.14e-05,0.109,0.695,143.96,6tsOcBnaKgzK22yEiqRh8P
0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,6ocbgoVGwYJhOv1GgI9NsF
0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,5OCJzvD7sykQEKHH7qAC3C
0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,4HBZA5flZLE435QTztThqH
0.623,0.734,9,-5.95,1,0.107,0.0162,1.9e-06,0.145,0.372,107.853,76FZM38RC8XaAjJ77CVTNe
0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,3e9HZxeyfWwjeyPAMmWSSQ
0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,24ySl2hOPGCDcxBxFIqWBu
0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,2qT1uLXPVPzGgFOx4jtEuo
0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,7xoUc6faLbCqZO6fQEYprd
0.662,0.602,4,-5.369,0,0.0401,0.0529,0.0,0.356,0.29,133.969,3nef5W8jTkXrOKgCu4kmq7
0.65,0.736,6,-5.84,0,0.229,0.0513,0.0,0.235,0.612,159.174,44ONERBHALxftQNWq6dmyd
0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,5J4ZkQpzMUFojo1CtAZYpn
0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,4OafepJy2teCjYJbvFE60J
0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,12KUFSHFgT0XCoiSlvdQi4
0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.008,7vS3Y0IKjde7Xg85LWIEdP
0.644,0.755,1,-5.325,1,0.0448,0.00237,7.64e-06,0.0859,0.334,102.861,6zegtH6XXd2PDPLvy1Y0n2
0.647,0.309,7,-7.948,0,0.0366,0.78,7.41e-06,0.202,0.195,87.045,1TEL6MlSSVLSdhOSddidlJ
